uoa_site,scientific_name,common_name,native,introduced,threatened,category,observed_on,quality_grade,latitude,longitude,observer,project_id,observation_id,url
UoA City Campus,Cleobora mellyi,Tasmanian Ladybird,False,True,False,Insecta,2025-01-06,research,-36.8504136,174.7708442997,rishud,biota-of-university-of-auckland-city-campus,257532535,https://www.inaturalist.org/observations/257532535
UoA City Campus,Todiramphus sanctus vagans,New Zealand Sacred Kingfisher,True,False,False,Aves,2025-01-06,research,-36.8496464642,174.7707250714,jw_nz,biota-of-university-of-auckland-city-campus,257537731,https://www.inaturalist.org/observations/257537731
UoA City Campus,Hirundo neoxena neoxena,Eastern Welcome Swallow,True,False,False,Aves,2025-01-06,research,-36.8496845616,174.7708839923,jw_nz,biota-of-university-of-auckland-city-campus,257541257,https://www.inaturalist.org/observations/257541257
UoA City Campus,Passer domesticus domesticus,European house sparrow,False,True,False,Aves,2025-01-06,research,-36.8496899275,174.7707371414,jw_nz,biota-of-university-of-auckland-city-campus,257559304,https://www.inaturalist.org/observations/257559304
UoA City Campus,Passer domesticus domesticus,European house sparrow,False,True,False,Aves,2025-01-06,research,-36.8497070981,174.7707495466,jw_nz,biota-of-university-of-auckland-city-campus,257559356,https://www.inaturalist.org/observations/257559356
UoA City Campus,Rhipidura fuliginosa placabilis,North Island Fantail,True,False,False,Aves,2025-01-07,research,-36.8508695976,174.7707820684,jw_nz,biota-of-university-of-auckland-city-campus,257648240,https://www.inaturalist.org/observations/257648240
UoA City Campus,Rhipidura fuliginosa placabilis,North Island Fantail,True,False,False,Aves,2025-01-10,research,-36.8503177278,174.7697286308,jw_nz,biota-of-university-of-auckland-city-campus,257997563,https://www.inaturalist.org/observations/257997563
UoA City Campus,Rhipidura fuliginosa placabilis,North Island Fantail,True,False,False,Aves,2025-01-10,research,-36.8506128458,174.7711575776,jw_nz,biota-of-university-of-auckland-city-campus,257998419,https://www.inaturalist.org/observations/257998419
UoA City Campus,Zosterops lateralis lateralis,Cinnamon-flanked Silvereye,True,False,False,Aves,2025-01-30,research,-36.8500175111,174.7696699575,jw_nz,biota-of-university-of-auckland-city-campus,260009967,https://www.inaturalist.org/observations/260009967
UoA City Campus,Rhipidura fuliginosa placabilis,North Island Fantail,True,False,False,Aves,2025-01-30,research,-36.8499914869,174.7698047385,jw_nz,biota-of-university-of-auckland-city-campus,260011059,https://www.inaturalist.org/observations/260011059
UoA City Campus,Zosterops lateralis lateralis,Cinnamon-flanked Silvereye,True,False,False,Aves,2025-01-30,research,-36.8499914869,174.7698047385,jw_nz,biota-of-university-of-auckland-city-campus,260011099,https://www.inaturalist.org/observations/260011099
UoA City Campus,Hemiphaga novaeseelandiae novaeseelandiae,Kererū,True,False,False,Aves,2025-01-31,research,-36.8500142916,174.7710750997,jw_nz,biota-of-university-of-auckland-city-campus,260104712,https://www.inaturalist.org/observations/260104712
UoA City Campus,Opisthoncus polyphemus,Cyclops Jumping Spider,False,True,False,Arachnida,2025-02-07,research,-36.8505661,174.7713187997,reshnu_sheela,biota-of-university-of-auckland-city-campus,261092223,https://www.inaturalist.org/observations/261092223
UoA City Campus,Platycercus eximius,Eastern Rosella,False,True,False,Aves,2025-02-10,research,-36.850033072,174.7696850449,jw_nz,biota-of-university-of-auckland-city-campus,261188092,https://www.inaturalist.org/observations/261188092
UoA City Campus,Lampropholis delicata,Dark-flecked Garden Sunskink,False,True,False,Reptilia,2025-02-10,research,-36.8501492417,174.7712316737,milapower,biota-of-university-of-auckland-city-campus,261519693,https://www.inaturalist.org/observations/261519693
UoA City Campus,Hemiphaga novaeseelandiae novaeseelandiae,Kererū,True,False,False,Aves,2025-02-18,research,-36.8496153423,174.7691526264,jw_nz,biota-of-university-of-auckland-city-campus,262067698,https://www.inaturalist.org/observations/262067698
UoA City Campus,Amphipsalta zelandica,Chorus Cicada,True,False,False,Insecta,2025-02-19,research,-36.8500713,174.7704995997,rishud,biota-of-university-of-auckland-city-campus,262359958,https://www.inaturalist.org/observations/262359958
UoA City Campus,Nephrolepis cordifolia,Fishbone Fern,False,True,False,Plantae,2025-02-24,research,-36.8511466667,174.7696533333,jsimons,biota-of-university-of-auckland-city-campus,262918974,https://www.inaturalist.org/observations/262918974
UoA City Campus,Adiantum capillus-veneris,black maidenhair fern,False,True,False,Plantae,2025-02-24,research,-36.8511383333,174.7696083333,jsimons,biota-of-university-of-auckland-city-campus,262918997,https://www.inaturalist.org/observations/262918997
